"event","date","fulldate","cov_all","mid.x","mid.y","grid.cell","catch"
1,1825,"2014-12-31",0.52,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6615802597521,-16.9823203541124,4361,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6521298133938,-16.96435404843,4339,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6521298133938,-16.96435404843,4339,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6521298133938,-16.96435404843,4339,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6521298133938,-16.96435404843,4339,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6521298133938,-17.0272361183184,4333,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6521298133938,-17.0362192711596,4332,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6615802597521,-16.9733372012712,4362,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6521298133938,-16.9823203541124,4337,"Chiyabi"
1,1825,"2014-12-31",0.52,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
2,1885,"2015-03-01",0.52,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
3,2098,"2015-09-30",0.52,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
4,2250,"2016-02-29",0.52,27.7088324915433,-16.9733372012712,4490,"Chiyabi"
1,1825,"2014-12-31",0.52,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
2,1885,"2015-03-01",0.52,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
3,2098,"2015-09-30",0.52,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
4,2250,"2016-02-29",0.52,27.7088324915433,-16.9823203541124,4489,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6332289206773,-17.009269812636,4286,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6332289206773,-17.009269812636,4286,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6332289206773,-17.009269812636,4286,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6332289206773,-17.009269812636,4286,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6804811524686,-16.9733372012712,4412,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6426793670356,-17.009269812636,4312,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6426793670356,-17.009269812636,4312,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6426793670356,-17.009269812636,4312,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6426793670356,-17.009269812636,4312,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6710307061103,-16.9733372012712,4387,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6899315988268,-17.009269812636,4433,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6899315988268,-17.009269812636,4433,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6899315988268,-17.009269812636,4433,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6899315988268,-17.009269812636,4433,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6804811524686,-17.009269812636,4410,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6804811524686,-17.009269812636,4410,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6804811524686,-17.009269812636,4410,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6804811524686,-17.009269812636,4410,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6521298133938,-17.009269812636,4335,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6521298133938,-17.009269812636,4335,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6521298133938,-17.009269812636,4335,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6521298133938,-17.009269812636,4335,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6426793670356,-16.96435404843,4314,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6426793670356,-16.96435404843,4314,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6426793670356,-16.96435404843,4314,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6426793670356,-16.96435404843,4314,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
1,1825,"2014-12-31",0.52,27.623778474319,-17.0272361183184,4259,"Chiyabi"
2,1885,"2015-03-01",0.52,27.623778474319,-17.0272361183184,4259,"Chiyabi"
3,2098,"2015-09-30",0.52,27.623778474319,-17.0272361183184,4259,"Chiyabi"
4,2250,"2016-02-29",0.52,27.623778474319,-17.0272361183184,4259,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6615802597521,-17.009269812636,4358,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6615802597521,-17.009269812636,4358,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6615802597521,-17.009269812636,4358,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6615802597521,-17.009269812636,4358,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6993820451851,-16.9913035069536,4458,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6332289206773,-17.0272361183184,4284,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6993820451851,-16.96435404843,4461,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6993820451851,-16.96435404843,4461,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6993820451851,-16.96435404843,4461,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6993820451851,-16.96435404843,4461,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6710307061103,-17.009269812636,4383,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6710307061103,-17.009269812636,4383,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6710307061103,-17.009269812636,4383,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6710307061103,-17.009269812636,4383,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6426793670356,-17.0362192711596,4309,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6993820451851,-16.9823203541124,4459,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6521298133938,-17.0182529654772,4334,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6899315988268,-17.0002866597948,4434,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6899315988268,-17.0002866597948,4434,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6899315988268,-17.0002866597948,4434,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6899315988268,-17.0002866597948,4434,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6899315988268,-16.9823203541124,4435,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6899315988268,-16.9823203541124,4435,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6899315988268,-16.9823203541124,4435,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6899315988268,-16.9823203541124,4435,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6332289206773,-16.96435404843,4287,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6332289206773,-16.96435404843,4287,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6332289206773,-16.96435404843,4287,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6332289206773,-16.96435404843,4287,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6426793670356,-17.0272361183184,4310,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6426793670356,-17.0272361183184,4310,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6426793670356,-17.0272361183184,4310,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6426793670356,-17.0272361183184,4310,"Chiyabi"
1,1825,"2014-12-31",0.52,27.623778474319,-17.0362192711596,4258,"Chiyabi"
2,1885,"2015-03-01",0.52,27.623778474319,-17.0362192711596,4258,"Chiyabi"
3,2098,"2015-09-30",0.52,27.623778474319,-17.0362192711596,4258,"Chiyabi"
4,2250,"2016-02-29",0.52,27.623778474319,-17.0362192711596,4258,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6332289206773,-17.0182529654772,4285,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6332289206773,-17.0182529654772,4285,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6332289206773,-17.0182529654772,4285,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6332289206773,-17.0182529654772,4285,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6899315988268,-17.0452024240008,4432,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6899315988268,-17.0452024240008,4432,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6899315988268,-17.0452024240008,4432,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6899315988268,-17.0452024240008,4432,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6804811524686,-17.0002866597948,4411,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6804811524686,-17.0002866597948,4411,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6804811524686,-17.0002866597948,4411,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6804811524686,-17.0002866597948,4411,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6615802597521,-17.0362192711596,4357,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6615802597521,-17.0362192711596,4357,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6615802597521,-17.0362192711596,4357,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6615802597521,-17.0362192711596,4357,"Chiyabi"
1,1825,"2014-12-31",0.52,27.7088324915433,-16.96435404843,4491,"Chiyabi"
2,1885,"2015-03-01",0.52,27.7088324915433,-16.96435404843,4491,"Chiyabi"
3,2098,"2015-09-30",0.52,27.7088324915433,-16.96435404843,4491,"Chiyabi"
4,2250,"2016-02-29",0.52,27.7088324915433,-16.96435404843,4491,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6143280279608,-17.009269812636,4227,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6143280279608,-17.009269812636,4227,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6143280279608,-17.009269812636,4227,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6143280279608,-17.009269812636,4227,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6993820451851,-17.0452024240008,4457,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6993820451851,-17.0452024240008,4457,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6993820451851,-17.0452024240008,4457,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6993820451851,-17.0452024240008,4457,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6143280279608,-17.0002866597948,4228,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6143280279608,-17.0002866597948,4228,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6143280279608,-17.0002866597948,4228,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6143280279608,-17.0002866597948,4228,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6426793670356,-16.9823203541124,4313,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6426793670356,-16.9823203541124,4313,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6426793670356,-16.9823203541124,4313,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6426793670356,-16.9823203541124,4313,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6710307061103,-17.0002866597948,4384,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6710307061103,-17.0002866597948,4384,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6710307061103,-17.0002866597948,4384,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6710307061103,-17.0002866597948,4384,"Chiyabi"
1,1825,"2014-12-31",0.52,27.623778474319,-17.0002866597948,4260,"Chiyabi"
2,1885,"2015-03-01",0.52,27.623778474319,-17.0002866597948,4260,"Chiyabi"
3,2098,"2015-09-30",0.52,27.623778474319,-17.0002866597948,4260,"Chiyabi"
4,2250,"2016-02-29",0.52,27.623778474319,-17.0002866597948,4260,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6615802597521,-16.9913035069536,4360,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6615802597521,-16.9913035069536,4360,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6615802597521,-16.9913035069536,4360,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6615802597521,-16.9913035069536,4360,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6615802597521,-16.96435404843,4363,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6615802597521,-16.96435404843,4363,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6615802597521,-16.96435404843,4363,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6615802597521,-16.96435404843,4363,"Chiyabi"
1,1825,"2014-12-31",0.52,27.7088324915433,-16.9913035069536,4488,"Chiyabi"
2,1885,"2015-03-01",0.52,27.7088324915433,-16.9913035069536,4488,"Chiyabi"
3,2098,"2015-09-30",0.52,27.7088324915433,-16.9913035069536,4488,"Chiyabi"
4,2250,"2016-02-29",0.52,27.7088324915433,-16.9913035069536,4488,"Chiyabi"
1,1825,"2014-12-31",0.52,27.7088324915433,-17.0002866597948,4487,"Chiyabi"
2,1885,"2015-03-01",0.52,27.7088324915433,-17.0002866597948,4487,"Chiyabi"
3,2098,"2015-09-30",0.52,27.7088324915433,-17.0002866597948,4487,"Chiyabi"
4,2250,"2016-02-29",0.52,27.7088324915433,-17.0002866597948,4487,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6710307061103,-16.9913035069536,4385,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6710307061103,-16.9913035069536,4385,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6710307061103,-16.9913035069536,4385,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6710307061103,-16.9913035069536,4385,"Chiyabi"
